Question Number;Question Text;field;Response Type;User Response
1;Company legal name;onboarding.company_legal_name;Text input;Dev Answers
2;What's the company's main address?;onboarding.company_address;Text input;Dev address
3;Do you have an office?;onboarding.has_office;Radio buttons;Yes
4;Do you provide your own company devices to your employees?;onboarding.provides_company_devices;Radio buttons;Yes
5;What do you use for version control?;onboarding.version_control_tools;Dropdown;GitLab
6;What kind of services do you provide?;onboarding.service_type;Dropdown;Hybrid
7;What do you use for password management?;onboarding.password_management_tool;Dropdown;LastPass
8;Number of employees;onboarding.employee_count;Number input;2
9;Number of contractors?;onboarding.contractor_count;Number input;2
10;What do you use for ticket / project management?;onboarding.ticket_management_tools;Dropdown;Zendesk
11;Please upload your company logo;onboarding.company_logo;File upload;data/company_logo.png
12;Who is the owner of this access control policy?;user_response.policy_owner_email;Email/User selector;Hassan Tayyab
13;Who has authority to approve this policy?;user_response.policy_approver_email;Email/User selector;hassan@gmail.com
14;When should this policy become effective?;user_response.effective_date;Date picker;2025-08-02
15;Do you require Multi-Factor Authentication (MFA) for privileged access?;user_response.require_mfa;Radio buttons;No
16;How often do you perform user access reviews?;user_response.review_frequency;Dropdown;Semi-annually
17;How long after termination should access be revoked?;user_response.termination_timeframe;Dropdown;Immediately
18;Who is responsible for approving exceptions to this policy?;user_response.exception_approver;Dropdown;Security Team
19;Who do you report policy violations to?;user_response.violations_reporter;Dropdown;Security Team
20;How do you handle access requests and approvals?;user_response.access_request_method;Radio buttons;Ticketing system (Jira/ServiceNow/etc.)
